City,Image Source,Business Name,Rating,Number of Reviews,Categories,Address,Eversports URL:L
Heiligenhaus,https://files.eversports.com/5a0544b7-0bbe-44fa-8bb0-7672ce1ecd8f/dsc06058jpg-small.webp,"4,9 (58 Rezensionen)",rating,"4,9 (58 Rezensionen)","['Poledance', 'Aerial Yoga', 'Akrobatik', 'Acroyoga', '+ 13']","Kölner Straße 336A , 40227 Düsseldorf",https://www.eversports.de/l/poledance/Heiligenhaus
Heiligenhaus,https://files.eversports.com/b0bce89e-0a39-429d-b996-6173bcde1313/20220515144802_fr2_2643-ps_43jpg-small.webp,"4,9 (43 Rezensionen)",rating,"4,9 (43 Rezensionen)","['Tanzen', 'Hip Hop', 'Poledance', 'Aerial Yoga', '+ 38']","Rethelstraße 28 Hof, 40237 Düsseldorf",https://www.eversports.de/l/poledance/Heiligenhaus
Hemmingen,https://files.eversports.com/6fc96064-8bcf-444a-a2d3-e3521b3206c5/_22b0405jpg-small.webp,5 (25 Rezensionen),rating,5 (25 Rezensionen),"['Fitness', 'Tanzen', 'Poledance', 'Ballett', '+ 12']","Marktplatz 4 , 30853 Langenhagen",https://www.eversports.de/l/poledance/Hemmingen
Hemmingen,https://files.eversports.com/e7553f28-546d-4658-a27b-c4872721e1f9/druck-17jpg-largejpeg-small.webp,"4,8 (14 Rezensionen)",rating,"4,8 (14 Rezensionen)",['Poledance'],"Büttnerstraße 22 , 30165 Hannover",https://www.eversports.de/l/poledance/Hemmingen
Hemsbach,https://files.eversports.com/0db99d38-69d4-40a9-8f26-a66645108783/miriams-web-4349jpg-small.webp,"4,9 (44 Rezensionen)",rating,"4,9 (44 Rezensionen)","['Fitness', 'Poledance', 'Raumvermietung', 'Power Pole', '+ 11']","Edisonstraße 20 , 68309 Mannheim",https://www.eversports.de/l/poledance/Hemsbach
Hemsbach,https://files.eversports.com/b8aaa043-16a2-4948-b545-0df8fc0332ed/img_1649jpg-small.webp,"4,9 (18 Rezensionen)",rating,"4,9 (18 Rezensionen)","['Fitness', 'Tanzen', 'Yoga', 'Hip Hop', '+ 6']","Fabrikstraße 21 , 64625 Bensheim",https://www.eversports.de/l/poledance/Hemsbach
Hemsbach,https://files.eversports.com/ce18ee10-e44a-482a-8c85-5ab57a420e0b/larab-web-2285jpg-small.webp,"4,9 (28 Rezensionen)",rating,"4,9 (28 Rezensionen)","['Fitness', 'Tanzen', 'Poledance', 'Stretching', '+ 6']","Edisonstraße 20, 68309 Mannheim",https://www.eversports.de/l/poledance/Hemsbach
Hennef,https://files.eversports.com/b4921528-1315-4746-a1ee-a7bcb7d17ecd/img_2702-2jpg-small.webp,5 (50 Rezensionen),rating,5 (50 Rezensionen),"['Poledance', 'Aerial Yoga', 'Personal Training', 'Meditation', '+ 8']","Zum Wingert 10 , 53783 Eitorf",https://www.eversports.de/l/poledance/Hennef
Hennigsdorf,https://files.eversports.com/a006ebd7-6e7c-484e-a854-38c78fb2f26a/logo-agata-2-rjpg-small.webp,5 (36 Rezensionen),rating,5 (36 Rezensionen),"['Fitness', 'Tanzen', 'Yoga', 'Poledance', '+ 8']","Charitestraße 4 , 10117 Berlin",https://www.eversports.de/l/poledance/Hennigsdorf
Hennigsdorf,https://files.eversports.com/a97360c2-cb47-452c-8ba7-ad1c92a271b2/6d3ee569-49b6-449a-aaf7-4327f505bb19-3cd43197-dcf0-46e4-93cd-a08206db23edjpg-small.webp,"4,8 (122 Rezensionen)",rating,"4,8 (122 Rezensionen)","['Pilates', 'Events', 'Zen Meditation', 'Meditation', '+ 29']","Böttgerstraße 16 , 13357 Berlin",https://www.eversports.de/l/poledance/Hennigsdorf
Heppenheim,https://files.eversports.com/0db99d38-69d4-40a9-8f26-a66645108783/miriams-web-4349jpg-small.webp,"4,9 (44 Rezensionen)",rating,"4,9 (44 Rezensionen)","['Fitness', 'Poledance', 'Raumvermietung', 'Power Pole', '+ 11']","Edisonstraße 20 , 68309 Mannheim",https://www.eversports.de/l/poledance/Heppenheim
Heppenheim,https://files.eversports.com/b8aaa043-16a2-4948-b545-0df8fc0332ed/img_1649jpg-small.webp,"4,9 (18 Rezensionen)",rating,"4,9 (18 Rezensionen)","['Fitness', 'Tanzen', 'Yoga', 'Hip Hop', '+ 6']","Fabrikstraße 21 , 64625 Bensheim",https://www.eversports.de/l/poledance/Heppenheim
Heppenheim,https://files.eversports.com/ce18ee10-e44a-482a-8c85-5ab57a420e0b/larab-web-2285jpg-small.webp,"4,9 (28 Rezensionen)",rating,"4,9 (28 Rezensionen)","['Fitness', 'Tanzen', 'Poledance', 'Stretching', '+ 6']","Edisonstraße 20, 68309 Mannheim",https://www.eversports.de/l/poledance/Heppenheim
